match stats
possession,successful passes,total pass attempts,pass accuracy,shots on target,shots,shots accuracy,shots on goal,saves,yellow cards,name,fouls,corners,crosses,touches,tackles,interceptions,aerials won,clearances,offsides,goal kicks,throw ins,long balls
56%,514,609,84%,2,10,20%,2,1,1,Crystal Palace,16,3,19,723,18,8,10,18,1,4,25,83
44%,378,469,81%,2,10,20%,2,2,2,Arsenal,11,5,11,598,29,9,14,24,2,2,14,59

team1
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
Odsonne Édouard ,22,FRA,FW,24-201,57,0,0,0,0,3,1,0,0,20,0,0,0,0.2,0.2,0.0,1,0,3,6,50.0,0,1,2
   Jean-Philippe Mateta ,14,FRA,FW,25-038,33,0,0,0,0,1,0,0,0,13,0,0,0,0.1,0.1,0.2,0,0,8,10,80.0,0,0,0
Wilfried Zaha ,11,CIV,LW,29-268,90,0,0,0,0,1,0,0,0,51,3,0,0,0.1,0.1,0.6,3,0,30,39,76.9,2,3,5
Jordan Ayew ,9,GHA,RW-AM,30-328,90,0,0,0,0,1,0,0,0,44,2,0,0,0.1,0.1,0.1,7,0,27,34,79.4,0,6,9
Eberechi Eze ,10,ENG,AM,24-037,85,0,0,0,0,1,1,0,0,53,1,0,1,0.5,0.5,0.0,1,0,32,41,78.0,0,1,4
   Malcolm Ebiowei ,23,ENG,RW,18-335,5,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,3,66.7,0,1,3
Jeffrey Schlupp ,15,GHA,DM,29-225,85,0,0,0,0,3,0,0,0,52,4,1,2,0.2,0.2,0.0,1,0,30,35,85.7,1,3,4
   Will Hughes ,19,ENG,DM,27-110,5,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,3,5,60.0,0,0,0
Cheick Doucouré ,28,MLI,DM,22-209,74,0,0,0,0,0,0,0,0,39,1,1,1,0.0,0.0,0.0,1,0,32,34,94.1,4,0,0
   Luka Milivojević ,4,SRB,DM,31-120,16,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,0,0,15,17,88.2,3,0,0
Tyrick Mitchell ,3,ENG,LB,22-338,90,0,0,0,0,0,0,0,0,75,1,2,2,0.0,0.0,0.0,0,0,50,66,75.8,4,0,1
Marc Guéhi ,6,ENG,CB,22-023,90,0,0,0,0,0,0,0,0,114,0,1,4,0.0,0.0,0.0,0,0,93,105,88.6,6,0,0
Joachim Andersen ,16,DEN,CB,26-066,90,0,0,0,0,0,0,0,0,123,6,2,0,0.0,0.0,0.1,2,0,93,107,86.9,2,0,0
Nathaniel Clyne ,17,ENG,RB,31-122,90,0,0,0,0,0,0,1,0,73,0,1,0,0.0,0.0,0.1,2,0,59,68,86.8,1,1,1
Vicente Guaita ,13,ESP,GK,35-207,90,0,0,0,0,0,0,0,0,40,0,0,0,0.0,0.0,0.0,0,0,37,39,94.9,0,0,0
,15,990,0,0,0,0,10,2,1,0,723,18,8,10,1.2,1.2,1.1,18,0,514,609,84.4,23,16,29

team2
Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,Prog,Succ,Att
Gabriel Jesus ,9,BRA,FW,25-124,82,0,0,0,0,1,0,0,0,40,1,1,0,0.1,0.1,0.0,4,0,20,28,71.4,3,6,6
   Eddie Nketiah ,14,ENG,FW,23-067,8,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.1,2,0,3,3,100.0,1,1,1
Martinelli ,11,BRA,LW,21-048,90,1,0,0,0,2,1,0,0,35,0,0,1,0.4,0.4,0.1,1,0,24,28,85.7,1,3,3
Bukayo Saka ,7,ENG,RW,20-334,90,0,0,0,0,3,0,0,0,48,2,0,3,0.3,0.3,0.0,3,1,25,35,71.4,1,1,3
Granit Xhaka ,34,SUI,LM,29-312,90,0,0,0,0,0,0,1,0,60,1,2,2,0.0,0.0,0.0,3,0,41,48,85.4,7,0,0
Thomas Partey ,5,GHA,CM,29-053,90,0,0,0,0,1,0,0,0,62,6,1,3,0.1,0.1,0.1,1,0,38,47,80.9,5,0,0
Martin Ødegaard ,8,NOR,RM,23-231,89,0,0,0,0,2,0,0,0,52,2,0,0,0.1,0.1,0.0,0,0,29,41,70.7,3,0,1
   Albert Sambi Lokonga ,23,BEL,CM-RW,22-287,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,100.0,0,0,0
Oleksandr Zinchenko ,35,UKR,LB,25-233,82,0,1,0,0,1,1,0,0,67,5,3,0,0.0,0.0,0.3,2,1,43,55,78.2,3,0,0
   Kieran Tierney ,3,SCO,LB,25-061,8,0,0,0,0,0,0,0,0,7,2,0,0,0.0,0.0,0.0,0,0,2,4,50.0,0,0,0
Gabriel Dos Santos ,6,BRA,CB,24-229,90,0,0,0,0,0,0,0,0,67,1,1,2,0.0,0.0,0.0,0,0,52,58,89.7,1,0,0
William Saliba ,12,FRA,CB,21-134,90,0,0,0,0,0,0,0,0,59,1,0,2,0.0,0.0,0.0,1,0,45,48,93.8,2,1,1
Ben White ,4,ENG,RB,24-301,90,0,0,0,0,0,0,1,0,63,8,1,4,0.0,0.0,0.1,1,0,31,41,75.6,5,1,2
Aaron Ramsdale ,1,ENG,GK,24-083,90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,0,0,24,32,75.0,0,0,0
,14,990,1,1,0,0,10,2,2,0,598,29,9,17,1.0,1.0,0.6,18,2,378,469,80.6,32,13,17
